"Decimal","Hexadecimal","Company"
"2112","0x0840","Down Range Systems LLC"
"2111","0x083F","D-Link Corp."
"2110","0x083E","Zorachka LTD"
"2109","0x083D","Tokenize, Inc."
"2108","0x083C","BeerTech LTD"
"2107","0x083B","Piaggio Fast Forward"
"2106","0x083A","BPW Bergische Achsen Kommanditgesellschaft"
"2105","0x0839","A puissance 3"
"2104","0x0838","Etymotic Research, Inc."
"2103","0x0837","vivo Mobile Communication Co., Ltd."
"2102","0x0836","Bitwards Oy"
"2101","0x0835","Canopy Growth Corporation"
"2100","0x0834","RIKEN KEIKI CO., LTD.,"
"2099","0x0833","Conneqtech B.V."
"2098","0x0832","Intermotive,Inc."
"2097","0x0831","Foxble, LLC"
"2096","0x0830","Core Health and Fitness LLC"
"2095","0x082F","Blippit AB"
"2094","0x082E","ABB S.p.A."
"2093","0x082D","INCUS PERFORMANCE LTD."
"2092","0x082C","INGICS TECHNOLOGY CO., LTD."
"2091","0x082B","shenzhen fitcare electronics Co.,Ltd"
"2090","0x082A","Mitutoyo Corporation"
"2089","0x0829","HEXAGON"
